Date,Close Price
10/12/16 00:00,635.08
10/13/16 00:00,635.02
10/14/16 00:00,638.37
10/15/16 00:00,637.37
10/16/16 00:00,639.83
10/17/16 00:00,636.92
10/18/16 00:00,635.51
10/19/16 00:00,628.15
10/20/16 00:00,628.62
10/21/16 00:00,630.15
10/22/16 00:00,652.71
10/23/16 00:00,649.24
10/24/16 00:00,648.4
10/25/16 00:00,652.89
10/26/16 00:00,674.36
10/27/16 00:00,686.52
10/28/16 00:00,688.1
10/29/16 00:00,712.87
10/30/16 00:00,696.35
10/31/16 00:00,697.37
11/1/16 00:00,729.27
11/2/16 00:00,742.46
11/3/16 00:00,687.51
11/4/16 00:00,702.54
11/5/16 00:00,704.16
11/6/16 00:00,712.24
11/7/16 00:00,704.02
11/8/16 00:00,709.15
11/9/16 00:00,721.19
11/10/16 00:00,713.67
11/11/16 00:00,716.56
11/12/16 00:00,703.55
11/13/16 00:00,702.5
11/14/16 00:00,706.39
11/15/16 00:00,711.96
11/16/16 00:00,742.07
11/17/16 00:00,735.41
11/18/16 00:00,749.68
11/19/16 00:00,750.63
11/20/16 00:00,728.61
11/21/16 00:00,736.72
11/22/16 00:00,748.22
11/23/16 00:00,741.6
11/24/16 00:00,736.4
11/25/16 00:00,738.28
11/26/16 00:00,732.82
11/27/16 00:00,728.42
11/28/16 00:00,731.75
11/29/16 00:00,731.76
11/30/16 00:00,742.01
12/1/16 00:00,753.25
12/2/16 00:00,771.41
12/3/16 00:00,764.97
12/4/16 00:00,766.46
12/5/16 00:00,750.71
12/6/16 00:00,758.81
12/7/16 00:00,763.9
12/8/16 00:00,766.75
12/9/16 00:00,770.41
12/10/16 00:00,773.21
12/11/16 00:00,768.62
12/12/16 00:00,777.91
12/13/16 00:00,775.25
12/14/16 00:00,776.64
12/15/16 00:00,775.48
12/16/16 00:00,780.85
12/17/16 00:00,788.58
12/18/16 00:00,788.59
12/19/16 00:00,790.16
12/20/16 00:00,798.78
12/21/16 00:00,833.1
12/22/16 00:00,858.74
12/23/16 00:00,916.79
12/24/16 00:00,894.2
12/25/16 00:00,894.48
12/26/16 00:00,902.55
12/27/16 00:00,931.11
12/28/16 00:00,978.01
12/29/16 00:00,969.62
12/30/16 00:00,960.47
12/31/16 00:00,968.23
1/1/17 00:00,997.69
1/2/17 00:00,1018.05
1/3/17 00:00,1030.82
1/4/17 00:00,1129.87
1/5/17 00:00,1005.81
1/6/17 00:00,895.67
1/7/17 00:00,905.17
1/8/17 00:00,913.52
1/9/17 00:00,899.35
1/10/17 00:00,904.79
1/11/17 00:00,775.98
1/12/17 00:00,802.83
1/13/17 00:00,826.12
1/14/17 00:00,818.64
1/15/17 00:00,822.42
1/16/17 00:00,830.26
1/17/17 00:00,904.45
1/18/17 00:00,884.25
1/19/17 00:00,898.02
1/20/17 00:00,891.62
1/21/17 00:00,920.01
1/22/17 00:00,925.33
1/23/17 00:00,912.69
1/24/17 00:00,885.65
1/25/17 00:00,894.11
